open,high,low,close,volume,vwap,rsi,bb_mavg,bb_upper,bb_lower,bb_hi,bb_li,timestamp
32833,33043,32675,32959,11.2975,32823.006373,69.88299869872071,32551.3,33347.78254218156,31754.81745781844,0.0,0.0,2021-07-15 00:00:00+00:00
33071,33172,32835,32855,9.4058,33041.970571,64.20932036563647,32602.45,33336.53949726855,31868.360502731448,0.0,0.0,2021-07-15 01:00:00+00:00
32765,32900,32730,32788,6.039,32820.498775,60.78543770444278,32649.7,33298.922642858364,32000.477357141637,0.0,0.0,2021-07-15 02:00:00+00:00
32710,32775,32656,32656,8.9411,32748.417779,54.607328993911345,32683.0,33257.475064733015,32108.524935266985,0.0,0.0,2021-07-15 03:00:00+00:00
32653,32663,32465,32594,14.4735,32619.487104,51.9371723455965,32725.7,33108.40463806962,32342.995361930378,0.0,0.0,2021-07-15 04:00:00+00:00
32603,32643,32500,32521,5.9685,32562.735361,48.904993157081364,32733.4,33092.38880205377,32374.41119794623,0.0,0.0,2021-07-15 05:00:00+00:00
32578,32578,32377,32532,18.3811,32475.778,49.38452164763701,32739.05,33081.23151615773,32396.86848384227,0.0,0.0,2021-07-15 06:00:00+00:00
32393,32556,32393,32451,2.1676,32497.447223,45.9637181788915,32742.15,33072.509364934616,32411.790635065387,0.0,0.0,2021-07-15 07:00:00+00:00
32413,32413,32378,32400,11.7411,32401.654342,43.90171831648922,32744.55,33064.0561658247,32425.043834175296,0.0,1.0,2021-07-15 08:00:00+00:00
32409,32602,32409,32500,3.1409,32545.925435,48.75606161582777,32729.4,33064.726348502474,32394.07365149753,0.0,0.0,2021-07-15 09:00:00+00:00
32365,32365,31837,31877,38.8532,32084.648428,30.847162789371552,32680.4,33175.27428706693,32185.52571293307,0.0,1.0,2021-07-15 10:00:00+00:00
31937,31990,31850,31895,9.9266,31909.446407,31.628581841423866,32635.65,33233.86276315372,32037.437236846286,0.0,1.0,2021-07-15 11:00:00+00:00
31800,32112,31633,31730,50.6585,31821.578991,28.454480582357306,32581.8,33292.030554116056,31871.569445883943,0.0,1.0,2021-07-15 12:00:00+00:00
31696,31898,31425,31865,51.4772,31753.362442,34.26693362807835,32531.9,33294.40453113408,31769.39546886592,0.0,0.0,2021-07-15 13:00:00+00:00
31800,31924,31708,31801,40.268,31818.274138,32.902245407957864,32483.95,33301.66229047875,31666.23770952125,0.0,0.0,2021-07-15 14:00:00+00:00
31755,31830,31660,31696,17.5835,31701.490096,30.739297100393273,32429.9,33303.95100537669,31555.848994623313,0.0,0.0,2021-07-15 15:00:00+00:00
31679,31724,31500,31565,16.0315,31602.561158,28.244574193518474,32366.1,33295.34332658352,31436.85667341648,0.0,0.0,2021-07-15 16:00:00+00:00
31516,31516,31144,31247,16.5093,31340.361336,23.300977524063413,32285.4,33304.68159014082,31266.11840985918,0.0,1.0,2021-07-15 17:00:00+00:00
31298,31499,31298,31425,6.4501,31452.0791,30.62101808376758,32207.45,33239.47683589139,31175.423164108608,0.0,0.0,2021-07-15 18:00:00+00:00
31427,31785,31427,31590,48.6744,31576.355785,36.656022775419636,32147.35,33176.203978949394,31118.496021050607,0.0,0.0,2021-07-15 19:00:00+00:00
31630,31745,31584,31745,12.5307,31696.143711,41.779426784521945,32086.65,33058.46505956638,31114.834940433626,0.0,0.0,2021-07-15 20:00:00+00:00
31755,31803,31697,31760,14.2433,31773.673025,42.26608996598239,32031.9,32946.067358857224,31117.732641142775,0.0,0.0,2021-07-15 21:00:00+00:00
31712,31850,31712,31765,1.3576,31824.558412,42.43881098791405,31980.75,32832.30525363889,31129.19474636111,0.0,0.0,2021-07-15 22:00:00+00:00
31805,31888,31504,31888,10.2974,31713.480743,46.665878319972535,31942.35,32735.93434334354,31148.76565665646,0.0,0.0,2021-07-15 23:00:00+00:00
31926,31926,31570,31639,10.7345,31593.480553,40.22577610538271,31894.6,32638.99946265429,31150.200537345707,0.0,0.0,2021-07-16 00:00:00+00:00
31669,31851,31661,31850,47.7244,31788.224717,46.911679455338536,31861.05,32547.745412828714,31174.354587171285,0.0,0.0,2021-07-16 01:00:00+00:00
31866,31995,31855,31918,72.5393,31942.84115,48.89556177771203,31830.35,32445.48779757059,31215.212202429408,0.0,0.0,2021-07-16 02:00:00+00:00
31921,32010,31915,31915,17.7548,31988.050172,48.808902913548934,31803.55,32351.193488046738,31255.90651195326,0.0,0.0,2021-07-16 03:00:00+00:00
32000,32000,31932,31932,0.456,31975.423026,49.35664781908915,31780.15,32259.600216393734,31300.69978360627,0.0,0.0,2021-07-16 04:00:00+00:00
31913,31913,31736,31793,1.5669,31746.013658,45.10677217455983,31744.8,32093.038768663107,31396.56123133689,0.0,0.0,2021-07-16 05:00:00+00:00
31787,31787,31592,31599,0.0925,31679.876757,39.93798838571229,31730.9,32079.114818754166,31382.685181245837,0.0,0.0,2021-07-16 06:00:00+00:00
31699,31717,31665,31704,0.4159,31690.246694,43.698434250475515,31721.35,32061.420154526968,31381.27984547303,0.0,0.0,2021-07-16 07:00:00+00:00
31767,31767,31400,31477,16.4449,31594.191597,38.139006567087435,31708.7,32064.978037493183,31352.421962506818,0.0,0.0,2021-07-16 08:00:00+00:00
31436,31449,31357,31449,10.1261,31408.028807,37.50517729898745,31687.9,32053.695516648295,31322.104483351708,0.0,0.0,2021-07-16 09:00:00+00:00
31414,31448,31151,31311,9.4662,31294.496176,34.4650770480324,31663.4,32059.957385506805,31266.8426144932,0.0,0.0,2021-07-16 10:00:00+00:00
31150,31251,31050,31122,4.9612,31101.746997,30.784649317924305,31634.7,32095.539711830468,31173.860288169533,0.0,1.0,2021-07-16 11:00:00+00:00
31098,31764,31098,31681,34.1739,31432.015763,48.35202914144454,31640.5,32100.60411865141,31180.39588134859,0.0,0.0,2021-07-16 12:00:00+00:00
31720,31962,31720,31808,34.6518,31814.313444,51.37176967922079,31668.55,32096.55863309049,31240.541366909507,0.0,0.0,2021-07-16 13:00:00+00:00
31824,31923,31820,31911,3.952,31830.13793,53.73438435922901,31692.85,32117.96470216871,31267.73529783129,0.0,0.0,2021-07-16 14:00:00+00:00
31964,32202,31834,32140,109.3759,32184.91863,58.55556692429221,31720.35,32184.64571395824,31256.054286041755,0.0,0.0,2021-07-16 15:00:00+00:00
32146,32221,31862,31998,60.4207,32100.596236,54.74592157257213,31733.0,32212.819549414147,31253.180450585853,0.0,0.0,2021-07-16 16:00:00+00:00
32067,32117,31993,32037,23.1435,32017.24247,55.600313637684785,31746.85,32244.64203489007,31249.05796510993,0.0,0.0,2021-07-16 17:00:00+00:00
32000,32043,31948,31985,0.5317,31993.358849,54.132795898541566,31757.85,32266.367561152016,31249.33243884798,0.0,0.0,2021-07-16 18:00:00+00:00
32000,32077,31889,31910,9.9542,32032.845804,52.000930238307,31758.95,32268.682665227567,31249.217334772435,0.0,0.0,2021-07-16 19:00:00+00:00
31933,31949,31833,31857,16.755,31844.121987,50.487770225985905,31769.85,32278.177955162802,31261.522044837195,0.0,0.0,2021-07-16 20:00:00+00:00
31831,31831,31700,31739,13.7788,31769.455185,47.19500617669249,31764.3,32271.428819926452,31257.171180073547,0.0,0.0,2021-07-16 21:00:00+00:00
31766,31839,31584,31587,5.4179,31631.038114,43.27937593006727,31747.75,32255.33876071087,31240.16123928913,0.0,0.0,2021-07-16 22:00:00+00:00
31619,31619,31383,31433,2.8147,31473.45337,39.68674257452004,31723.65,32242.824450449938,31204.475549550065,0.0,0.0,2021-07-16 23:00:00+00:00
31353,31600,31200,31600,20.3741,31404.621681,45.016917092982595,31707.05,32219.705625152004,31194.394374847994,0.0,0.0,2021-07-17 00:00:00+00:00
31498,31524,31317,31342,2.8592,31385.402175,39.246380813044325,31684.5,32219.24910004599,31149.75089995401,0.0,0.0,2021-07-17 01:00:00+00:00
31383,31480,31279,31354,12.3887,31335.739553,39.633976750297954,31672.25,32225.187925991693,31119.312074008307,0.0,0.0,2021-07-17 02:00:00+00:00
31356,31467,31295,31298,3.1331,31396.650123,38.40268734555916,31651.95,32228.060223828732,31075.83977617127,0.0,0.0,2021-07-17 03:00:00+00:00
31247,31422,31223,31422,3.8884,31249.144507,42.65118408281864,31649.2,32229.136755172487,31069.263244827514,0.0,0.0,2021-07-17 04:00:00+00:00
31425,31534,31388,31475,1.6103,31494.674843,44.4158533967785,31650.5,32228.74994595762,31072.25005404238,0.0,0.0,2021-07-17 05:00:00+00:00
31489,31547,31489,31544,0.372,31537.908602,46.714670595725856,31662.15,32221.655594252636,31102.644405747367,0.0,0.0,2021-07-17 06:00:00+00:00
31569,31569,31474,31527,0.1455,31528.764948,46.20761963940197,31682.4,32189.062570158872,31175.73742984113,0.0,0.0,2021-07-17 07:00:00+00:00
31468,31966,31386,31655,11.0679,31789.649798,50.559039101088864,31681.1,32187.903670073523,31174.296329926474,0.0,0.0,2021-07-17 08:00:00+00:00
31755,31773,31624,31638,16.8185,31711.661147,49.980761078493515,31672.6,32176.29808417344,31168.90191582656,0.0,0.0,2021-07-17 09:00:00+00:00
31599,31599,31276,31377,5.9459,31385.961032,42.03208069316957,31645.9,32152.821256212435,31138.978743787568,0.0,0.0,2021-07-17 10:00:00+00:00
31271,31473,31271,31377,4.5365,31381.55232,42.03208069316957,31607.75,32073.34848582227,31142.15151417773,0.0,0.0,2021-07-17 11:00:00+00:00
31392,31544,31379,31458,1.3449,31530.834263,45.17056402204303,31580.75,32014.21505049426,31147.28494950574,0.0,0.0,2021-07-17 12:00:00+00:00
31592,31749,31363,31721,32.4303,31484.150501,53.89834844929929,31564.95,31951.207155273514,31178.692844726487,0.0,0.0,2021-07-17 13:00:00+00:00
31640,31765,31636,31637,4.5651,31679.661125,51.10050356378782,31547.55,31884.793813879493,31210.306186120506,0.0,0.0,2021-07-17 14:00:00+00:00
31474,31769,31474,31760,2.9066,31653.987236,54.8004291980148,31540.05,31850.31019725383,31229.789802746167,0.0,0.0,2021-07-17 15:00:00+00:00
31736,31830,31654,31704,3.9285,31699.603106,52.84013991248478,31532.4,31817.552169902294,31247.24783009771,0.0,0.0,2021-07-17 16:00:00+00:00
31659,31659,31579,31637,0.1318,31593.811077,50.512035084166875,31527.3,31800.904166634915,31253.695833365084,0.0,0.0,2021-07-17 17:00:00+00:00
31721,31812,31702,31743,1.252,31803.340655,53.967591717931896,31535.1,31823.55859321571,31246.64140678429,0.0,0.0,2021-07-17 18:00:00+00:00
31798,31906,31734,31906,1.9101,31858.269305,58.73878347222976,31558.75,31884.9394388235,31232.5605611765,1.0,0.0,2021-07-17 19:00:00+00:00
31895,31895,31750,31750,2.2699,31828.413807,53.069480244401866,31566.25,31902.62709493958,31229.87290506042,0.0,0.0,2021-07-17 20:00:00+00:00
31716,31822,31716,31745,1.2605,31809.682904,52.89326834545351,31586.4,31914.81766091365,31257.982339086353,0.0,0.0,2021-07-17 21:00:00+00:00
31649,31649,31642,31645,1.0852,31644.911906,49.36300831910112,31600.95,31912.23152852361,31289.66847147639,0.0,0.0,2021-07-17 22:00:00+00:00
31610,31610,31550,31559,2.0715,31591.822448,46.48930157026808,31614.0,31893.662653924323,31334.337346075677,0.0,0.0,2021-07-17 23:00:00+00:00
31539,32116,31500,32001,9.8237,31770.07088,59.52958403317043,31642.95,31955.103471869206,31330.796528130795,1.0,0.0,2021-07-18 00:00:00+00:00
32107,32430,31990,32212,30.429,32197.325633,64.03533576766219,31679.8,32068.554729874766,31291.045270125232,1.0,0.0,2021-07-18 01:00:00+00:00
32259,32266,32172,32191,4.9879,32234.262976,63.28021045596562,31712.15,32154.327464373757,31269.972535626246,1.0,0.0,2021-07-18 02:00:00+00:00
32169,32176,32100,32156,10.7354,32102.857071,61.96860122909888,31743.6,32217.001478662674,31270.198521337323,0.0,0.0,2021-07-18 03:00:00+00:00
32159,32194,32107,32113,5.4567,32175.045632,60.31456935560964,31766.5,32264.22743545038,31268.77256454962,0.0,0.0,2021-07-18 04:00:00+00:00
32139,32167,32072,32081,3.846,32084.939808,59.051380054108336,31788.65,32300.753222016825,31276.546777983178,0.0,0.0,2021-07-18 05:00:00+00:00
32075,32075,31859,31898,13.5613,31944.89046,52.304939384537704,31814.7,32292.230773877473,31337.16922612253,0.0,0.0,2021-07-18 06:00:00+00:00
31868,31919,31751,31751,3.0896,31886.595579,47.600507693728495,31833.4,32268.29327426395,31398.506725736053,0.0,0.0,2021-07-18 07:00:00+00:00
31692,31772,31692,31741,0.3166,31741.131396,47.2889122228141,31847.55,32249.86056411685,31445.239435883148,0.0,0.0,2021-07-18 08:00:00+00:00
31750,31839,31720,31724,2.5297,31735.527454,46.728898460402114,31847.7,32249.82391125127,31445.57608874873,0.0,0.0,2021-07-18 09:00:00+00:00
31686,31731,31585,31731,4.8546,31626.766963,47.00718370433477,31852.4,32246.68436438695,31458.115635613052,0.0,0.0,2021-07-18 10:00:00+00:00
31722,31798,31711,31798,1.7761,31758.078205,49.714876967283296,31854.3,32247.148622245288,31461.45137775471,0.0,0.0,2021-07-18 11:00:00+00:00
31823,31836,31702,31754,5.1662,31739.288374,47.981015264176214,31856.8,32246.413962788836,31467.186037211162,0.0,0.0,2021-07-18 12:00:00+00:00
31743,31743,31642,31703,2.5427,31667.962402,45.97934274372773,31860.1,32243.27614748314,31476.92385251686,0.0,0.0,2021-07-18 13:00:00+00:00
31681,31740,31121,31338,45.7071,31331.591315,34.79232324350076,31839.85,32283.650529517505,31396.049470482492,0.0,1.0,2021-07-18 14:00:00+00:00
31298,31429,31298,31338,4.5197,31373.166272,34.79232324350076,31811.45,32304.63170079598,31318.26829920402,0.0,0.0,2021-07-18 15:00:00+00:00
31350,31544,31342,31482,10.0203,31486.887977,41.324357915911406,31798.05,32311.33568068865,31284.764319311347,0.0,0.0,2021-07-18 16:00:00+00:00
31453,31762,31440,31627,7.7026,31643.183367,47.07362037574473,31792.15,32310.42763795095,31273.872362049053,0.0,0.0,2021-07-18 17:00:00+00:00
31606,31662,31596,31622,6.8721,31600.942609,46.902956662596395,31791.0,32310.678746919682,31271.321253080318,0.0,0.0,2021-07-18 18:00:00+00:00
31644,31726,31630,31669,10.8553,31693.603696,48.78267600513648,31796.5,32308.512695155125,31284.487304844875,0.0,0.0,2021-07-18 19:00:00+00:00
31647,31725,31621,31685,0.3785,31633.762483,49.43889088237213,31780.7,32285.953243433443,31275.446756566558,0.0,0.0,2021-07-18 20:00:00+00:00
31621,31816,31597,31816,2.4861,31623.832831,54.57102633465258,31760.9,32226.47272256868,31295.327277431323,0.0,0.0,2021-07-18 21:00:00+00:00
31879,31900,31446,31520,55.4321,31582.395365,43.76205581176663,31727.35,32159.62874109191,31295.071258908087,0.0,0.0,2021-07-18 22:00:00+00:00
31532,31845,31527,31825,10.2992,31817.762865,53.89552408261373,31710.8,32099.29483909057,31322.30516090943,0.0,0.0,2021-07-18 23:00:00+00:00
31797,31815,31567,31614,48.0008,31663.411656,47.51667900494365,31685.85,32029.30204905489,31342.397950945106,0.0,0.0,2021-07-19 00:00:00+00:00
31587,31653,31447,31597,40.5213,31507.848053,47.03367644568891,31661.65,31954.851142562584,31368.44885743742,0.0,0.0,2021-07-19 01:00:00+00:00
31632,31662,31532,31564,0.2948,31571.140773,46.05502051078535,31644.95,31919.87942730818,31370.02057269182,0.0,0.0,2021-07-19 02:00:00+00:00
31500,31611,31476,31580,32.248,31561.406162,46.6348094125044,31636.4,31908.22376643701,31364.57623356299,0.0,0.0,2021-07-19 03:00:00+00:00
